,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
247294,WRL ,WRL,World,2023-01-03,661561276.0,458746.0,6695226.0,2090.0
247293,WRL ,WRL,World,2023-01-02,661102530.0,420719.0,6693136.0,1285.0
247292,WRL ,WRL,World,2023-01-01,660681811.0,312774.0,6691851.0,843.0
246534,WRL ,WRL,World,2020-12-04,66060248.0,696324.0,1594832.0,12470.0
247291,WRL ,WRL,World,2022-12-31,660369037.0,265710.0,6691008.0,733.0
247290,WRL ,WRL,World,2022-12-30,660103327.0,579680.0,6690275.0,2254.0
247289,WRL ,WRL,World,2022-12-29,659523647.0,670179.0,6688021.0,2793.0
247288,WRL ,WRL,World,2022-12-28,658853468.0,636538.0,6685234.0,2662.0
247287,WRL ,WRL,World,2022-12-27,658216930.0,652486.0,6682572.0,1954.0
247286,WRL ,WRL,World,2022-12-26,657564444.0,449994.0,6680618.0,974.0
247285,WRL ,WRL,World,2022-12-25,657047349.0,251615.0,6679644.0,731.0
246218,WRL ,WRL,World,2020-01-23,657.0,100.0,18.0,1.0
247284,WRL ,WRL,World,2022-12-24,656861020.0,345066.0,6678913.0,842.0
247283,WRL ,WRL,World,2022-12-23,656515954.0,640162.0,6678071.0,2563.0
247282,WRL ,WRL,World,2022-12-22,655875792.0,759457.0,6675508.0,2561.0
247281,WRL ,WRL,World,2022-12-21,655116335.0,713647.0,6672947.0,2476.0
247280,WRL ,WRL,World,2022-12-20,654402688.0,712820.0,6670471.0,2132.0
247279,WRL ,WRL,World,2022-12-19,653689868.0,581242.0,6668339.0,1742.0
246533,WRL ,WRL,World,2020-12-03,65363924.0,690577.0,1582362.0,12709.0
247278,WRL ,WRL,World,2022-12-18,653108626.0,283457.0,6666597.0,734.0
247277,WRL ,WRL,World,2022-12-17,652825169.0,300260.0,6665863.0,763.0
247276,WRL ,WRL,World,2022-12-16,652524909.0,731530.0,6665100.0,2654.0
247275,WRL ,WRL,World,2022-12-15,651793379.0,750109.0,6662446.0,2744.0
246350,WRL ,WRL,World,2020-06-03,6516362.0,114479.0,420811.0,5621.0
247274,WRL ,WRL,World,2022-12-14,651043270.0,694265.0,6659702.0,2358.0
247273,WRL ,WRL,World,2022-12-13,650357644.0,778020.0,6657344.0,1893.0
247272,WRL ,WRL,World,2022-12-12,649579624.0,572644.0,6655451.0,1600.0
247271,WRL ,WRL,World,2022-12-11,649006980.0,299124.0,6653852.0,593.0
247270,WRL ,WRL,World,2022-12-10,648707856.0,274502.0,6653259.0,541.0
247269,WRL ,WRL,World,2022-12-09,648433354.0,670307.0,6652718.0,2169.0
